"Source:","C:\EE\Projects\1005 Flash Programmer\KiCAD Project\1005 Flash Programmer\1005 Flash Programmer.sch"
"Date:","12/26/2021 11:18:50 AM"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","Q202","BC548","Transistor_BJT:BC548","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","","https://rocelec.widen.net/view/pdf/q1kc0zm1fe/FAIRS24942-1.pdf?t.download=true&u=5oefqw","","TRANS NPN 30V 100MA TO92-3","2156-BC548-FS-ND","Transistors - Bipolar (BJT) - Songle","BC548","Fairchild Semiconductor",""
"","","R201","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 10K OHM 1% 1/4W AXIAL","10.0KXBK-ND","Through Hole Resistors","MFR-25FBF52-10K","YAGEO",""
"","","R202","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 10K OHM 1% 1/4W AXIAL","10.0KXBK-ND","Through Hole Resistors","MFR-25FBF52-10K","YAGEO",""
"","","R203","4.7K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 4.7K OHM 1% 1/4W AXIAL","MFR-25FBF52-4K7-ND","Through Hole Resistors","MFR-25FBF52-4K7","YAGEO",""
"","","R204","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 10K OHM 1% 1/4W AXIAL","10.0KXBK-ND","Through Hole Resistors","MFR-25FBF52-10K","YAGEO",""
"","","R205","4.7K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 4.7K OHM 1% 1/4W AXIAL","MFR-25FBF52-4K7-ND","Through Hole Resistors","MFR-25FBF52-4K7","YAGEO",""
"","","R206","4.7K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 4.7K OHM 1% 1/4W AXIAL","MFR-25FBF52-4K7-ND","Through Hole Resistors","MFR-25FBF52-4K7","YAGEO",""
"","","R301","300","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 300 OHM 1% 1/4W AXIAL","MFR-25FBF52-300R-ND","Through Hole Resistors","MFR-25FBF52-300R","YAGEO",""
"","","R401","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 10K OHM 1% 1/4W AXIAL","10.0KXBK-ND","Through Hole Resistors","MFR-25FBF52-10K","YAGEO",""
"","","R402","300","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 300 OHM 1% 1/4W AXIAL","MFR-25FBF52-300R-ND","Through Hole Resistors","MFR-25FBF52-300R","YAGEO",""
"","","R403","300","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20MFR_datasheet_2021v1.pdf","","RES 300 OHM 1% 1/4W AXIAL","MFR-25FBF52-300R-ND","Through Hole Resistors","MFR-25FBF52-300R","YAGEO",""
